NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,ESTADO_INS,METODO_CONS,NEAR_DIST,VOL_AUTORIZADO,VOL_ACTUAL,TON_AUTORIZADO,TON_ACTUAL,RES_APRUEBA,RES_PDC_APRUEBA,RES_PDC_FECHA,RES_APRUEBA_FECHA,latitud,longitud,lat_lon_pair
CIA. MINERA NOVA VENTURA,PLANTA SANTO DOMINGO,II,ANTOFAGASTA,TALTAL,TRANQUE 2,TRANQUE DE RELAVE,COBRE,7223231.90359999,348782.213299999,INACTIVO,,138646.83148797,1570000.0,0.0,2355000.0,0.0,3834,N_A,N_A,2003-12-19 00:00:00,-25.099168,-70.499641,"-25.099168, -70.499641"
CIA. MINERA NOVA VENTURA,PLANTA SANTO DOMINGO,II,ANTOFAGASTA,TALTAL,TRANQUE 1,TRANQUE DE RELAVE,COBRE,7222346.9912,348669.145299999,INACTIVO,,137755.972981999,1390000.0,0.0,2085000.0,0.0,316,,,1996-03-25 00:00:00,-25.107145,-70.500860,"-25.107145, -70.500860"
MINERA LAS CENIZAS S.A.,LAS CENIZAS TALTAL,II,ANTOFAGASTA,TALTAL,LAS LUCES 2,TRANQUE DE RELAVE,COBRE,7160345.29959999,341051.9664,INACTIVO,AGUAS ABAJO,75420.9424388625,6333334.0,6331078.0,9500000.0,9496617.0,2921,160,2009-02-09 00:00:00,2003-08-01 00:00:00,-25.666061,-70.583669,"-25.666061, -70.583669"
MINERA LAS CENIZAS S.A.,LAS CENIZAS TALTAL,II,ANTOFAGASTA,TALTAL,LAS LUCES 1,TRANQUE DE RELAVE,COBRE,7160855.4767,340397.838999999,INACTIVO,,75911.5121737282,3439815.0,0.0,5159772.0,0.0,S/I,975,2006-10-04 00:00:00,S/I,-25.661385,-70.590123,"-25.661385, -70.590123"
CIA. MINERA SOLEDAD,PLANTA SOLEDAD,II,ANTOFAGASTA,TALTAL,SOLEDAD I,TRANQUE DE RELAVE,ORO,7222376.91409999,444664.844899999,INACTIVO,,149942.539267776,40000.0,0.0,58000.0,0.0,1602,N_A,N_A,1992-12-31 00:00:00,-25.113455,-69.548863,"-25.113455, -69.548863"
CIA. MINERA SOLEDAD,PLANTA SOLEDAD,II,ANTOFAGASTA,TALTAL,SOLEDAD II,EMBALSE,COBRE,7222306.03149999,444775.954499999,INACTIVO,EMBALSE,149911.99724331,301542.0,0.0,452313.0,0.0,2967,,,2002-12-30 00:00:00,-25.114100,-69.547764,"-25.114100, -69.547764"
CIA. MINERA CERRO DOMINADOR,PLANTA CALLEJAS ZAMORA,II,ANTOFAGASTA,SIERRA GORDA,TRANQUE 2,EMBALSE,COBRE,7477439.21899999,459777.7942,INACTIVO,EMBALSE,62245.7200074688,1350000.0,0.0,2025000.0,0.0,33,N_A,N_A,1996-01-11 00:00:00,-22.810184,-69.391934,"-22.810184, -69.391934"
CIA. MINERA CERRO DOMINADOR,PLANTA CALLEJAS ZAMORA,II,ANTOFAGASTA,SIERRA GORDA,TRANQUE 3,EMBALSE,COBRE,7477670.04009999,459366.7686,INACTIVO,EMBALSE,62415.3523560697,386000.0,0.0,579000.0,0.0,968,1936,2015-07-30 00:00:00,2005-04-14 00:00:00,-22.808089,-69.395933,"-22.808089, -69.395933"
CIA. MINERA CENTINELA,PROYECTO ESPERANZA,II,ANTOFAGASTA,SIERRA GORDA,ESPERANZA,ESPESADO,COBRE-ORO,7456802.0285,487505.868599999,ACTIVO,N_A,63728.6217483722,468750000.0,223973600.0,750000000.0,412784518.0,1682,91,2009-01-27 00:00:00,2016-08-16 00:00:00,-22.997046,-69.121913,"-22.997046, -69.121913"
CODELCO,CHUQUICAMATA,II,EL LOA,CALAMA,TALABRE,TRANQUE DE RELAVE,COBRE-MOLIBDENO,7525647.23259999,522293.4561,ACTIVO,EJE CENTRAL,16905.9278494026,1450000000.0,1378690616.0,2233000000.0,2163470187.0,933,1425,2015-05-27 00:00:00,2014-07-31 00:00:00,-22.375014,-68.783448,"-22.375014, -68.783448"
SOTRAMIN LTDA. TALTAL,PLANTA MANUEL RODRIGUEZ,II,ANTOFAGASTA,TALTAL,TRANQUE DE RELAVE 2,TRANQUE DE RELAVE,COBRE,7190201.8863,351523.6681,INACTIVO,AGUAS ARRIBA,106038.665674328,37150.0,0.0,55725.0,0.0,S/I,,,S/I,-25.397628,-70.476060,"-25.397628, -70.476060"
